,Unnamed: 0.1,Unnamed: 0,newstitle,cleanedtext
13,13.0,45,"""description"":""전국이주인권단체는 30일 오전 서울 용산구 전쟁기념관 앞에서 기자회견을 열고 법무부와 경찰청, 해양경찰청 등 5개 정부 부처의 <b>미등록 이주민<\/b> 합동단속을 비판했다. 이들은 &quot;불법인 사람은 없다. 우리 이웃을 내쫓지... "",",전국이주인권단체는오전서울용산구전쟁기념관기자회견을열고법무부와경찰청해양경찰청개정부부처의<>미등록이주민<\/>합동단속을비판했다.이들은&;불법인사람은없다.이웃을내쫓지
14,14.0,49,"""title"":""&quot;불법인 사람은 없다&quot;…인권단체, 정부 <b>미등록 이주민<\/b> 단속 중단 촉구"",",&;불법인사람은없다&;인권단체정부<>미등록이주민<\/>단속중단촉구
15,15.0,52,"""description"":""이주인권단체들이 <b>미등록 이주민<\/b>에 대한 정부의 합동단속을 중단할 것을 촉구했다. 또 단속·추방보단 체류권을 보장할 수 있는 정책으로 나아가야 한다고 강조했다. 이주노동자평등연대 등 단체 100여 곳은 30일 서울... "",",이주인권단체들이<>미등록이주민<\/>에대한정부의합동단속을중단할것을촉구했다.단속·추방보단체류권을보장할있는정책으로나아가야한다고강조했다.이주노동자평등연대단체곳은서울
16,16.0,56,"""title"":""전체 외국인 19%가 <b>미등록 이주민<\/b>, &quot;개인 일탈로 나올 수 없는 숫자, 정책 개..."",",전체외국인%가<>미등록이주민<\/>&;개인일탈로나올없는숫자정책개
17,17.0,59,"""description"":""민주노총이 이주노동자평등연대와 함께 정부의 <b>미등록 이주민<\/b> 단속을 &apos;인간 사냥&apos;이라고 규정지으며 &apos;존재가 불법인 사람은 없다&apos;고 외쳤다. 정부는 3월부터 두 달간 <b>미등록 이주민<\/b>에 대한 합동단속을 실시하고 나섰다. 그...",민주노총이이주노동자평등연대와정부의<>미등록이주민<\/>단속을&;인간사냥&;이라고규정지으며&;존재가불법인사람은없다&;고외쳤다.정부는월부터두달간<>미등록이주민<\/>에대한합동단속을실시하고나섰다.
18,18.0,63,"""title"":""[현장취재] 이주인권단체 &quot;범죄자 취급하는 반인권적 &apos;<b>미등록 이주민<\/b> 단속&apos; 중..."",",현장취재이주인권단체&;범죄자취급하는반인권적&;<>미등록이주민<\/>단속&;중
19,19.0,66,"""description"":""30일 오전 11시 서울 용산구 전쟁기념관 앞에서 진행된 &apos;<b>미등록 이주민<\/b>에 대한 정부의 반인권적 합동단속 규탄 기자회견&apos;. ⓒ투데이신문 전국이주인권단체가 정부에 <b>미등록 이주민<\/b>에 대한 반인권적인 강제단속에 대한... "",",오전시서울용산구전쟁기념관진행된&;<>미등록이주민<\/>에대한정부의반인권적합동단속규탄기자회견&;.ⓒ투데이신문전국이주인권단체가정부에<>미등록이주민<\/>에대한반인권적인강제단속에대한
20,20.0,70,"""title"":""<b>미등록 이주민<\/b>에 대한 반인권적 강제단속 중단하라"",",<>미등록이주민<\/>에대한반인권적강제단속중단하라
21,21.0,73,"""description"":""전국이주인권단체 회원들이 30일 오전 서울 용산구 대통령실 인근에서 <b>미등록 이주민<\/b>에 대한 정부의 반인권적 합동단속을 규탄하는 기자회견을 하고 있다. 2023.03.30. xconfind@newsis.com 공감언론 뉴시스가 독자... "",",전국이주인권단체회원들이오전서울용산구대통령실인근에서<>미등록이주민<\/>에대한정부의반인권적합동단속을규탄하는기자회견을있다..공감언론뉴시스가독자
22,22.0,77,"""title"":""<b>미등록 이주민<\/b>에 대한 반인권적 강제단속 중단하라"",",<>미등록이주민<\/>에대한반인권적강제단속중단하라
23,23.0,80,"""description"":""전국이주인권단체 회원들이 30일 오전 서울 용산구 대통령실 인근에서 <b>미등록 이주민<\/b>에 대한 정부의 반인권적 합동단속을 규탄하는 기자회견을 하고 있다. 2023.03.30. xconfind@newsis.com 공감언론 뉴시스가 독자... "",",전국이주인권단체회원들이오전서울용산구대통령실인근에서<>미등록이주민<\/>에대한정부의반인권적합동단속을규탄하는기자회견을있다..공감언론뉴시스가독자
24,24.0,84,"""title"":""조선대병원 의료진, 광주<b>이주민<\/b>건강센터 의료봉사"",",조선대병원의료진광주<>이주민<\/>건강센터의료봉사
25,25.0,87,"""description"":""광주<b>이주민<\/b>건강센터는 2005년 6월 26일 창립된 이후 의료보험 미가입자, <b>미등록<\/b> 체류자 등에게 의료 봉사를 해오고 있다. 조선대병원 관계자는 &quot;열악한 보건의료 환경 속에서 소외된 이들에게 도움을 주고자 꾸준하게... "",",광주<>이주민<\/>건강센터는창립된이후의료보험미가입자<>미등록<\/>체류자등에게의료봉사를해오고있다.조선대병원관계자는&;열악한보건의료환경속에서소외된이들에게도움을주고자꾸준하게
26,26.0,91,"""title"":""한국 산 지 31년… 아직도 ‘없는 사람’… &quot;아이들 보건소 예방접종도 못받아..."",",한국산지아직도‘없는사람’&;아이들보건소예방접종도못받아
27,27.0,94,"""description"":""이른바 &apos;불법체류자&apos;로 불리는 <b>미등록 이주민<\/b>이기 때문이다. 기자는 4일 경기 남양주에 위치한 이주민 지원단체 &apos;샬롬의 집&apos;에서 외국인 이주노동자 3명을 만날 수 있었다. 자한길 알럼씨를 통해 한국 초기 적응 생활을... "",",이른바&;불법체류자&;로불리는<>미등록이주민<\/>이기때문이다.기자는경기남양주에위치한이주민지원단체&;샬롬의집&;에서외국인이주노동자명을만날있었다.자한길알럼씨를통해한국초기적응생활을
28,28.0,98,"""title"":""교회서 <b>미등록<\/b> 이주노동자 단속 논란, 대구경찰청장 &quot;예배 중 경찰관 출입해 ..."",",교회서<>미등록<\/>이주노동자단속논란대구경찰청장&;예배중경찰관출입해
29,29.0,101,"""description"":""이에 개신교계를 중심으로 경찰이 예배 도중 난입해 <b>미등록 이주민<\/b>들을 강제로 연행한것은 공권력 남용이라는 비판이 일었다. 경찰 관계자는 &quot;예배 중인 사실을 듣고 종료 시간까지 기다렸으나 예배 시간이 다소 지연되며... "",",이에개신교계를중심으로경찰이예배도중난입해<>미등록이주민<\/>들을강제로연행한것은공권력남용이라는비판이일었다.경찰관계자는&;예배중인사실을듣고종료시간까지기다렸으나예배시간이지연되며
30,30.0,105,"""title"":""‘예배 중 수갑’ <b>미등록<\/b> 외국인 검거, 선 넘었다"",",‘예배중수갑’<>미등록<\/>외국인검거선넘었다
31,31.0,108,"""description"":""법무부는 지난달 25일 새벽 태국 가수 ‘암 추띠마’의 내한공연이 열린 인천의 한 클럽을 점거해 태국 출신 <b>미등록 이주민<\/b> 83명을 체포했다. 법무부는 암 추띠마가 한국 입국 사유에 ‘콘서트를 열기 위해서’라고 기재한... "",",법무부는지난달새벽태국가수‘암추띠마’의내한공연이열린인천의클럽을점거해태국출신<>미등록이주민<\/>명을체포했다.법무부는암추띠마가한국입국사유에‘콘서트를열기위해서’라고기재한
32,32.0,112,"""title"":""반인권적 &apos;<b>미등록 이주민<\/b>&apos; 합동단속 규탄"",",반인권적&;<>미등록이주민<\/>&;합동단속규탄
33,33.0,115,"""description"":""이주인권단체 &quot;체류권 보장&quot; 이주인권단체들이 <b>미등록 이주민<\/b>에 대한 정부의 반인권적 합동단속을 중단할 것을 촉구했다. 또 단속·추방보다는 체류권을 보장하는 정책으로 나아가야 한다고 주장했다.... "",",이주인권단체&;체류권보장&;이주인권단체들이<>미등록이주민<\/>에대한정부의반인권적합동단속을중단할것을촉구했다.단속·추방보다는체류권을보장하는정책으로나아가야한다고주장했다
34,34.0,119,"""title"":""[<b>미등록 이주민<\/b> 단속 논란] 예배 중인데 수갑 채우고, 다치고"",",<>미등록이주민<\/>단속논란예배중인데수갑채우고다치고
35,35.0,122,"""description"":""이주인권단체들은 정부와 수사기관들이 최근 <b>미등록 이주민<\/b>에 대한 합동단속을 실시하며 잇따라 반인권 행위를 했다며 우려의 목소리를 냈다. 이주노조를 비롯한 전국 100여개 이주인권단체는 30일 오전 서울 용산... "",",이주인권단체들은정부와수사기관들이최근<>미등록이주민<\/>에대한합동단속을실시하며반인권행위를했다며우려의목소리를냈다.이주노조를비롯한전국여개이주인권단체는오전서울용산
36,36.0,126,"""title"":""예배 중 <b>미등록<\/b> 이주노동자 단속, &apos;종교 탄압&apos; 비판에 대구경찰청장 머리 숙여"",",예배중<>미등록<\/>이주노동자단속&;종교탄압&;비판에대구경찰청장머리숙여
37,37.0,129,"""description"":""김수영 대구경찰청장은 지난달 31일 오후 이건호 대구기독교총연합회(대기총) 대표회장(목사) 등을 만나 &quot;<b>이주민<\/b> 교회에서 <b>미등록<\/b> 이주노동자 단속과 관련해 깊은 유감을 표한다&quot;며 &quot;앞으로 종교의 자유가 최대한 보장될 수... "",",김수영대구경찰청장은지난달오후이건호대구기독교총연합회대기총대표회장목사등을만나&;<>이주민<\/>교회에서<>미등록<\/>이주노동자단속과관련해깊은유감을표한다&;며&;앞으로종교의자유가최대한보장될
38,38.0,133,"""title"":""조선대병원, 광주<b>이주민<\/b>건강센터 의료봉사 실시"",",조선대병원광주<>이주민<\/>건강센터의료봉사실시
39,39.0,136,"""description"":""4일 조선대병원에 따르면 광주<b>이주민<\/b>건강센터는 지난 2005년 6월 26일 창립한 무료진료소로 의료보험 미가입자, <b>미등록<\/b>체류자 등에게 자원봉사자들이 의료봉사를 진행해 오고 있다. 조선대병원 의료봉사단은 최지윤... "",",조선대병원에따르면광주<>이주민<\/>건강센터는지난창립한무료진료소로의료보험미가입자<>미등록<\/>체류자등에게자원봉사자들이의료봉사를진행해오고있다.조선대병원의료봉사단은최지윤
40,40.0,140,"""title"":""조선대병원, 광주<b>이주민<\/b>건강센터 찾아 의료봉사 실시"",",조선대병원광주<>이주민<\/>건강센터찾아의료봉사실시
41,41.0,143,"""description"":""광주<b>이주민<\/b>건강센터는 2005년 6월 26일 창립한 무료진료소로 의료보험 미가입자, <b>미등록<\/b>체류자 등에게 자원봉사자들이 의료봉사를 진행해 오고 있다. 조선대학교병원 의료봉사단은 최지윤 대외협력실장(이비인후과 교수)... "",",광주<>이주민<\/>건강센터는창립한무료진료소로의료보험미가입자<>미등록<\/>체류자등에게자원봉사자들이의료봉사를진행해오고있다.조선대학교병원의료봉사단은최지윤대외협력실장이비인후과교수
42,42.0,147,"""title"":""&quot;<b>미등록 이주민<\/b> 체류권 보장하라&quot;[반인권적 정부 합동단속 규탄]"",",&;<>미등록이주민<\/>체류권보장하라&;반인권적정부합동단속규탄
43,43.0,150,"""description"":""30일 오전 서울 용산 대통령 집무실 앞에서 열린 &apos;<b>미등록 이주민<\/b> 대한 반인권적인 정부 합동단속 규탄 기자회견&apos;. 사진=한국이주여성인권센터 전국이주인권단체가 정부에 <b>미등록 이주민<\/b>에 대한 합동단속을 중단하라고... "",",오전서울용산대통령집무실열린&;<>미등록이주민<\/>대한반인권적인정부합동단속규탄기자회견&;.사진=한국이주여성인권센터전국이주인권단체가정부에<>미등록이주민<\/>에대한합동단속을중단하라고
44,44.0,154,"""title"":""TBC)경찰, &apos;예배 중 체포&apos; <b>이주민<\/b>센터 방문 유감 표명"",",bc경찰&;예배중체포&;<>이주민<\/>센터방문유감표명
45,45.0,157,"""description"":""TBC가 보도한 달성군 필리핀교회 <b>미등록<\/b> 이주 노동자 예배 중 체포와 관련해 대구경찰청장이 대구<b>이주민<\/b>선교센터를 찾아 재발 방지를 약속했습니다. 경찰은 종교시설 내 체포도구 사용을 자제하고 추후에 비슷한 상황이... "",",bc가보도한달성군필리핀교회<>미등록<\/>이주노동자예배중체포와관련해대구경찰청장이대구<>이주민<\/>선교센터를찾아재발방지를약속했습니다.경찰은종교시설내체포도구사용을자제하고추후에비슷한상황이
46,46.0,161,"""title"":""‘교회 <b>미등록<\/b> 이주노동자 단속’…대구경찰청장 “유감 표명”"",",‘교회<>미등록<\/>이주노동자단속’대구경찰청장“유감표명”
47,47.0,164,"""description"":""당시 상황에 대해 “설교 도중에 경찰관들이 들어와 신분증 제시를 요구했다”고 주장했다. 이후 개신교계를 중심으로 경찰이 예배 도중 난입해 <b>미등록 이주민<\/b>들을 강제로 연행한것은 공권력 남용이라는 비난이 일었다."",",당시상황에“설교도중에경찰관들이들어와신분증제시를요구했다”고주장했다.이후개신교계를중심으로경찰이예배도중난입해<>미등록이주민<\/>들을강제로연행한것은공권력남용이라는비난이일었다.
48,48.0,168,"""title"":""[위클립] 3월 5주"",",위클립주
49,49.0,171,"""description"":""공동 성명 □ <b>미등록 이주민<\/b> 반인권적 합동단속 하는 정부 규탄 기자회견 ▷ 어떤 내용? 전국이주인권단체와 민주노총 등이 <b>미등록 이주민<\/b>에 대한 정부 합동단속을 규탄함. 이들은 &quot;강제 합동단속이 <b>미등록 이주민<\/b>에 대한... "",",공동성명□<>미등록이주민<\/>반인권적합동단속정부규탄기자회견▷내용?전국이주인권단체와민주노총등이<>미등록이주민<\/>에대한정부합동단속을규탄함.이들은&;강제합동단속이<>미등록이주민<\/>에대한
50,50.0,175,"""title"":""대구경찰청장, <b>미등록 이주민<\/b> 예배 중 체포 유감 표명···교계 일각, &quot;후속..."",",대구경찰청장<>미등록이주민<\/>예배중체포유감표명···교계일각&;후속
51,51.0,178,"""description"":""대구경찰청장이 예배 중이던 <b>미등록 이주민<\/b> 9명을 체포한 사건에 유감을 표했다. 대구경찰청장은 종교시설 출입 시 종교의 자유 보장에 노력하고 재발 방지를 약속했다. 교계 일각에선 경찰의 내부 지침 정비를 통한 재발... "",",대구경찰청장이예배중이던<>미등록이주민<\/>명을체포한사건에유감을표했다.대구경찰청장은종교시설출입시종교의자유보장에노력하고재발방지를약속했다.교계일각에선경찰의내부지침정비를통한재발
52,52.0,182,"""title"":""남양주 누네안과병원, <b>이주민<\/b>연대 샬롬의 집과 의료지원 업무협약"",",남양주누네안과병원<>이주민<\/>연대샬롬의집과의료지원업무협약
53,53.0,185,"""description"":""김태근 신부는 &quot;코로나 시기가 끝나자마자 이어진 <b>미등록이주민<\/b> 합동단속 등 불안이 지속되면서 의료 사각지대에 놓인 이주민들에 대한 지원이 절실했는데, 이번 누네안과병원과의 업무협약으로 든든한 건강 안전망의... "",",김태근신부는&;코로나시기가끝나자마자이어진<>미등록이주민<\/>합동단속불안이지속되면서의료사각지대에놓인이주민들에대한지원이절실했는데누네안과병원과의업무협약으로든든한건강안전망의
54,54.0,189,"""title"":""&quot;예배 중인 <b>이주민<\/b> 교인 체포, 용납할 수 없어&quot;"",",&;예배중인<>이주민<\/>교인체포용납할없어&;
55,55.0,192,"""description"":""경찰은 <b>미등록 이주민<\/b> 9명을 연행해 갔다&quot;며 &quot;국가권력은 어떤 이유로도 예배 시간과 공간을 침해할 수 없다. 더군다나 예배 중인 성도에게 수갑을 채운 행위를 용납할 수 없다&quot;고 규탄했다. 또한 &quot;교회는 수고하고 무거운... "",",경찰은<>미등록이주민<\/>명을연행해갔다&;며&;국가권력은이유로도예배시간과공간을침해할없다.예배중인성도에게수갑을채운행위를용납할없다&;고규탄했다.&;교회는수고하고무거운
56,56.0,196,"""title"":""조선대병원, 광주<b>이주민<\/b>건강센터 의료봉사"",",조선대병원광주<>이주민<\/>건강센터의료봉사
57,57.0,199,"""description"":""광주<b>이주민<\/b>건강센터는 지난 2005년 6월 26일 창립한 무료진료소로 의료보험 미가입자, <b>미등록<\/b>체류자 등에게 자원봉사자들이 의료봉사를 진행해 오고 있다. 조선대학교병원 의료봉사단은 최지윤 대외협력실장... "",",광주<>이주민<\/>건강센터는지난창립한무료진료소로의료보험미가입자<>미등록<\/>체류자등에게자원봉사자들이의료봉사를진행해오고있다.조선대학교병원의료봉사단은최지윤대외협력실장
58,58.0,203,"""title"":""“간절히 기도드리던 손에 차디찬 수갑 채워져”"",",“간절히기도드리던손에차디찬수갑채워져”
59,59.0,206,"""description"":""박 목사는 “2019년 7월 미국이 <b>미등록 이주민<\/b>을 대대적으로 단속했을 때 지방정부와 인권단체는 항의 시위와 법률지원 등을 했다”며 “미국교회는 <b>미등록이주민<\/b>들을 위해 피난처가 되겠다고 선언했다”고 설명했다.... "",",박목사는“년미국이<>미등록이주민<\/>을대대적으로단속했을지방정부와인권단체는항의시위와법률지원등을했다”며“미국교회는<>미등록이주민<\/>들을위해피난처가되겠다고선언했다”고설명했다
60,60.0,210,"""title"":""다시 맞닥뜨린 농촌 인력난, 국가의 역할은?"",",맞닥뜨린농촌인력난국가의역할은?
61,61.0,213,"""description"":""<b>미등록 이주민<\/b>에 대한 반인권적 정부 합동단속을 규탄하는 전국 이주인권단체들의 공동 기자회견이었다. 기자회견 참가자들은 윤석열정부가 미등록 외국인노동자 대상 초강경 단속을 진행하는 상황을 규탄했다. 대구에선... "",",<>미등록이주민<\/>에대한반인권적정부합동단속을규탄하는전국이주인권단체들의공동기자회견이었다.기자회견참가자들은윤석열정부가미등록외국인노동자대상초강경단속을진행하는상황을규탄했다.대구에선
62,62.0,217,"""title"":""[사설] 반인권적인 교회·공연장 <b>이주민<\/b> 급습, 반한 감정 키운다"",",사설반인권적인교회·공연장<>이주민<\/>급습반한감정키운다
63,63.0,220,"""description"":""정부의 <b>미등록 이주민<\/b> 단속이 반인권적이라는 우려를 사고 있다. 내한 가수의 공연장을 급습해 관객을 체포하고, 예배 중인 교회를 덮쳐 신도에게 수갑을 채우는 식이다. 어느 인권국가에서도 문화·종교행사를 함정 삼아... "",",정부의<>미등록이주민<\/>단속이반인권적이라는우려를사고있다.내한가수의공연장을급습해관객을체포하고예배중인교회를덮쳐신도에게수갑을채우는식이다.인권국가에서도문화·종교행사를함정삼아
64,64.0,224,"""title"":""&quot;코로나 시기 부족한 인력 채웠는데… <b>이주민<\/b> 쫓아내기 급급&quot;"",",&;코로나시기부족한인력채웠는데<>이주민<\/>쫓아내기급급&;
65,65.0,227,"""description"":""30일 오전 서울 용산 대통령 집무실 앞에서 열린 &apos;<b>미등록 이주민<\/b> 대한 반인권적인 정부 합동단속 규탄 기자회견&apos;. 사진=한국이주여성인권센터 최근 대구 달성군에 있는 이주민교회에서 경찰이 예배 중인 미등록... "",",오전서울용산대통령집무실열린&;<>미등록이주민<\/>대한반인권적인정부합동단속규탄기자회견&;.사진=한국이주여성인권센터최근대구달성군에있는이주민교회에서경찰이예배중인미등록
66,66.0,231,"""title"":""<b>미등록 이주민<\/b> 합동 단속 &quot;인권침해 낳을 반인권적 조치&quot;"",",<>미등록이주민<\/>합동단속&;인권침해낳을반인권적조치&;
67,67.0,234,"""description"":""전국 이주인권단체들은 정부의 <b>미등록 이주민<\/b>에 대한 합동 단속에 대해 “인권침해를 낳을 반인권적 조치”라며 중단을 촉구했다. 이주노동자평등연대, 이주인권연대, 난민인권센터 등 전국의 이주인권단체들은 30일 오전... "",",전국이주인권단체들은정부의<>미등록이주민<\/>에대한합동단속에“인권침해를낳을반인권적조치”라며중단을촉구했다.이주노동자평등연대이주인권연대난민인권센터전국의이주인권단체들은오전
68,68.0,238,"""title"":""조선대병원, 광주<b>이주민<\/b>건강센터 찾아 의료봉사 실시"",",조선대병원광주<>이주민<\/>건강센터찾아의료봉사실시
69,69.0,241,"""description"":""광주<b>이주민<\/b>건강센터는 2005년 6월 26일 창립한 무료진료소다. 의료보험 미가입자, <b>미등록<\/b>체류자 등에게 자원봉사자들이 의료봉사를 진행해 오고 있다. 이날 의료봉사에는 조선대학교병원 최지윤 대외협력실장... "",",광주<>이주민<\/>건강센터는창립한무료진료소다.의료보험미가입자<>미등록<\/>체류자등에게자원봉사자들이의료봉사를진행해오고있다.이날의료봉사에는조선대학교병원최지윤대외협력실장
70,70.0,245,"""title"":""개신교계, &quot;전두환 때도 안그랬다&quot; 예배 중 <b>미등록<\/b>외국인 연행 반발"",",개신교계&;전두환때도안그랬다&;예배중<>미등록<\/>외국인연행반발
71,71.0,248,"""description"":""침해하고 <b>미등록 이주민<\/b>들의 인권을 짓밟은 행위라고 주장했습니다. 대구경북종교인연대는 이어 &quot;미등록체류자 상태에 놓인 이주노동자 문제는 지역노동청과 출입국외국인사무소 등이 담당하고 있음에도 불구하고... "",",침해하고<>미등록이주민<\/>들의인권을짓밟은행위라고주장했습니다.대구경북종교인연대는이어&;미등록체류자상태에놓인이주노동자문제는지역노동청과출입국외국인사무소등이담당하고있음에도
72,72.0,252,"""title"":""“기도중인 이주노동자 손에 수갑을… 법 위의 경찰, 예배 유린”"",",“기도중인이주노동자손에수갑을법위의경찰예배유린”
73,73.0,255,"""description"":""최근 대구 달성군에 있는 <b>이주민<\/b>교회인 논공필리핀교회(라프 루마바스 목사)에서 예배를 드리고 있던 <b>미등록<\/b> 이주노동자 9명을 경찰이 연행한 처사를 두고 범기독교계가 강하게 반발하고 나섰다. 특히 예배 중인 성도에게... "",",최근대구달성군에있는<>이주민<\/>교회인논공필리핀교회라프루마바스목사에서예배를드리고있던<>미등록<\/>이주노동자명을경찰이연행한처사를두고범기독교계가강하게반발하고나섰다.특히예배중인성도에게
74,74.0,259,"""title"":""&quot;대구 필리핀 <b>이주민<\/b>교회 예배 유린 사과&quot; 촉구"",",&;대구필리핀<>이주민<\/>교회예배유린사과&;촉구
75,75.0,262,"""description"":""이날 말씀을 전한 김규복 목사(빈들교회)는 &quot;우리는 지난 33년간 <b>미등록 이주민<\/b>들을 위해 사역해왔으며, 여전히 이슬람 힌두교 가톨릭 상관 없이 그들을 예수의 이름으로 영접하는 것이 우리의 사명&quot;이라며 &quot;이주민을 위해... "",",이날말씀을전한김규복목사빈들교회는&;우리는지난년간<>미등록이주민<\/>들을위해사역해왔으며이슬람힌두교가톨릭상관없이그들을예수의이름으로영접하는것이우리의사명&;이라며&;이주민을위해
76,76.0,266,"""title"":""&quot;경찰이 예배 유린&quot;…대구 논공필리핀교회 예배 유린 규탄 기도회"",",&;경찰이예배유린&;대구논공필리핀교회예배유린규탄기도회
77,77.0,269,"""description"":""경찰이 <b>미등록<\/b>외국인 단속을 이유로 주일예배 도중 교회에 난입한 것과 관련해 개신교계의 공분이 커지고... 논공필리핀교회 범기독교연대는 정부 당국의 <b>이주민<\/b> 혐오정책과 예배 유린행위에 대해서도 강한 어조로... "",",경찰이<>미등록<\/>외국인단속을이유로주일예배도중교회에난입한관련해개신교계의공분이커지고논공필리핀교회범기독교연대는정부당국의<>이주민<\/>혐오정책과예배유린행위에대해서도강한어조로
78,78.0,273,"""title"":""&quot;차별금지법 제정하라&quot;…서울역에 모인 이주 노동자들"",",&;차별금지법제정하라&;서울역에모인이주노동자들
79,79.0,276,"""description"":""우다야 라이 이주노조 위원장은 “한국에 있는 <b>이주민<\/b>, 이주노동자들이 국적, 인종, 피부색, 언어, 종교 등 이유로 겪는 인종차별이 많다”며 “<b>미등록<\/b>노동자가 돼지우리 숙소에서 죽어 야산에 버려지는 현실을... "",",우다야라이이주노조위원장은“한국에있는<>이주민<\/>이주노동자들이국적인종피부색언어종교이유로겪는인종차별이많다”며“<>미등록<\/>노동자가돼지우리숙소에서죽어야산에버려지는현실을
80,80.0,280,"""title"":""신천연합병원, <b>미등록<\/b> 이주노동자 지원 희망의친구들과 협약"",",신천연합병원<>미등록<\/>이주노동자지원희망의친구들과협약
81,81.0,283,"""description"":""경기 시흥시 의료법인 록향의료재단 신천연합병원(이하 신천연합병원)은 지난 10일 (사)한국이주민건강협회 희망의친구들(이하 희망의친구들)과 <b>미등록이주민<\/b> 의료비 지원을 위한 업무협약을 체결했다고 밝혔다. 20일... "",",경기시흥시의료법인록향의료재단신천연합병원이하신천연합병원은지난사한국이주민건강협회희망의친구들이하희망의친구들과<>미등록이주민<\/>의료비지원을위한업무협약을체결했다고밝혔다.
